rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0008.jpg,3.2,0.7571,0.9642,0.25,1.0,3,2,False,True
2,frame_0004.jpg,1.6,0.7335,0.617,0.75,1.0,6,6,False,False
3,frame_0170.jpg,68.0,0.7236,0.7302,0.875,0.48,8,7,False,True
4,frame_0018.jpg,7.2,0.7127,0.7253,0.5,1.0,5,4,False,True
5,frame_0000.jpg,0.0,0.699,0.698,0.5,1.0,6,4,False,True
6,frame_0002.jpg,0.8,0.6983,0.6216,0.625,1.0,6,5,False,False
7,frame_0072.jpg,28.8,0.6934,0.8367,0.25,1.0,6,2,False,True
8,frame_0285.jpg,114.0,0.6792,0.8934,0.375,0.6,4,3,False,True
9,frame_0011.jpg,4.4,0.6714,0.7178,0.375,1.0,3,3,False,False
10,frame_0001.jpg,0.4,0.6592,0.7684,0.25,1.0,6,2,False,False
11,frame_0387.jpg,154.8,0.6589,0.6378,1.0,0.2,9,8,False,True
12,frame_0015.jpg,6.0,0.6558,0.6865,0.375,1.0,4,3,False,False
13,frame_0076.jpg,30.4,0.6465,0.6249,0.5,0.92,6,4,False,False
14,frame_0075.jpg,30.0,0.6457,0.6823,0.375,0.96,4,3,False,False
15,frame_0284.jpg,113.6,0.6455,0.6921,0.625,0.56,5,5,False,False
16,frame_0292.jpg,116.8,0.6451,0.5952,0.625,0.8,6,5,False,True
17,frame_0005.jpg,2.0,0.6411,0.6571,0.375,1.0,5,3,False,False
18,frame_0070.jpg,28.0,0.6378,0.5755,0.5,1.0,6,4,False,False
19,frame_0021.jpg,8.4,0.6349,0.5699,0.5,1.0,5,4,False,False
20,frame_0029.jpg,11.6,0.626,0.627,0.375,1.0,4,3,False,True
21,frame_0003.jpg,1.2,0.6244,0.5489,0.5,1.0,5,4,False,False
22,frame_0079.jpg,31.6,0.6242,0.7035,0.375,0.8,7,3,False,True
23,frame_0279.jpg,111.6,0.62,0.871,0.375,0.36,6,3,False,True
24,frame_0209.jpg,83.6,0.6198,0.7266,0.375,0.72,3,3,False,True
25,frame_0290.jpg,116.0,0.6179,0.7658,0.25,0.8,5,2,False,False
26,frame_0009.jpg,3.6,0.6156,0.6812,0.25,1.0,2,2,False,False
27,frame_0077.jpg,30.8,0.6088,0.7905,0.125,0.88,6,1,False,False
28,frame_0074.jpg,29.6,0.6077,0.6654,0.25,1.0,7,2,False,False
29,frame_0384.jpg,153.6,0.6069,0.8498,0.5,0.16,8,4,False,False
30,frame_0388.jpg,155.2,0.6052,0.5464,1.0,0.16,9,8,False,False
31,frame_0078.jpg,31.2,0.6041,0.6472,0.375,0.84,8,3,False,False
32,frame_0230.jpg,92.0,0.6008,0.8536,0.5,0.12,7,4,False,False
33,frame_0073.jpg,29.2,0.5996,0.5742,0.375,1.0,5,3,False,False
34,frame_0024.jpg,9.6,0.5928,0.7106,0.125,1.0,1,1,False,False
35,frame_0169.jpg,67.6,0.5926,0.6772,0.5,0.52,6,4,False,False
36,frame_0377.jpg,150.8,0.5924,0.6868,0.75,0.12,8,6,False,False
37,frame_0116.jpg,46.4,0.5916,0.7392,0.5,0.36,9,4,False,False
38,frame_0295.jpg,118.0,0.5904,0.6838,0.375,0.68,7,3,False,False
39,frame_0027.jpg,10.8,0.5844,0.6188,0.25,1.0,2,2,False,False
40,frame_0309.jpg,123.6,0.5745,0.726,0.625,0.12,5,5,False,False
41,frame_0175.jpg,70.0,0.5738,0.7355,0.5,0.28,4,4,False,False
42,frame_0374.jpg,149.6,0.5738,0.6176,0.75,0.2,8,6,False,False
43,frame_0071.jpg,28.4,0.571,0.592,0.25,1.0,5,2,False,False
44,frame_0128.jpg,51.2,0.5703,0.5796,0.375,0.84,6,3,False,False
45,frame_0306.jpg,122.4,0.5703,0.7445,0.5,0.24,8,4,False,False
46,frame_0378.jpg,151.2,0.5696,0.7321,0.625,0.08,9,5,False,False
47,frame_0019.jpg,7.6,0.5682,0.5864,0.25,1.0,2,2,False,False
48,frame_0125.jpg,50.0,0.5631,0.6132,0.375,0.72,5,3,False,False
49,frame_0385.jpg,154.0,0.5616,0.8183,0.375,0.2,8,3,False,False
50,frame_0210.jpg,84.0,0.5607,0.6994,0.25,0.68,3,2,False,False
51,frame_0297.jpg,118.8,0.5584,0.5768,0.5,0.6,6,4,False,False
52,frame_0188.jpg,75.2,0.5524,0.7137,0.625,0.04,8,5,False,False
53,frame_0030.jpg,12.0,0.5522,0.5544,0.25,1.0,7,2,False,False
54,frame_0085.jpg,34.0,0.5498,0.7255,0.25,0.56,2,2,False,False
55,frame_0196.jpg,78.4,0.5472,0.8003,0.25,0.36,2,2,False,False
56,frame_0106.jpg,42.4,0.545,0.774,0.5,0.04,6,4,False,False
57,frame_0376.jpg,150.4,0.5447,0.6503,0.625,0.16,6,5,False,False
58,frame_0124.jpg,49.6,0.5424,0.6628,0.25,0.68,7,2,False,False
59,frame_0014.jpg,5.6,0.5403,0.4556,0.375,1.0,5,3,False,False
60,frame_0318.jpg,127.2,0.5363,0.6017,0.625,0.24,8,5,False,False
61,frame_0288.jpg,115.2,0.5361,0.6342,0.25,0.72,5,2,False,False
62,frame_0289.jpg,115.6,0.5356,0.6172,0.25,0.76,5,2,False,False
63,frame_0173.jpg,69.2,0.5334,0.6978,0.375,0.36,5,3,False,False
64,frame_0069.jpg,27.6,0.5332,0.4413,0.375,1.0,5,3,False,False
65,frame_0033.jpg,13.2,0.5331,0.5162,0.25,1.0,8,2,False,False
66,frame_0367.jpg,146.8,0.5308,0.6546,0.625,0.08,7,5,False,False
67,frame_0113.jpg,45.2,0.5306,0.6651,0.5,0.24,4,4,False,False
68,frame_0375.jpg,150.0,0.5302,0.6803,0.5,0.2,8,4,False,False
69,frame_0133.jpg,53.2,0.5301,0.4352,0.375,1.0,5,3,False,False
70,frame_0132.jpg,52.8,0.5292,0.5084,0.25,1.0,5,2,False,False
71,frame_0332.jpg,132.8,0.5288,0.7415,0.5,0.04,7,4,False,False
72,frame_0216.jpg,86.4,0.5271,0.8032,0.125,0.44,2,1,False,False
73,frame_0286.jpg,114.4,0.5262,0.6464,0.25,0.64,6,2,False,False
74,frame_0126.jpg,50.4,0.5254,0.4468,0.5,0.76,6,4,False,False
75,frame_0031.jpg,12.4,0.5252,0.4253,0.375,1.0,6,3,False,False
76,frame_0293.jpg,117.2,0.5248,0.5955,0.25,0.76,5,2,False,False
77,frame_0296.jpg,118.4,0.5218,0.5626,0.375,0.64,6,3,False,False
78,frame_0299.jpg,119.6,0.521,0.5339,0.5,0.52,6,4,False,False
79,frame_0123.jpg,49.2,0.5202,0.7095,0.125,0.64,5,1,False,False
80,frame_0127.jpg,50.8,0.5186,0.4172,0.5,0.8,6,4,False,False
81,frame_0017.jpg,6.8,0.5184,0.4118,0.375,1.0,6,3,False,False
82,frame_0114.jpg,45.6,0.5182,0.5494,0.625,0.28,6,5,False,False
83,frame_0010.jpg,4.0,0.5169,0.5588,0.125,1.0,2,1,False,False
84,frame_0278.jpg,111.2,0.5163,0.7546,0.25,0.32,7,2,False,False
85,frame_0028.jpg,11.2,0.5152,0.4805,0.25,1.0,3,2,False,False
86,frame_0291.jpg,116.4,0.5106,0.4602,0.375,0.84,7,3,False,False
87,frame_0129.jpg,51.6,0.5076,0.5882,0.125,0.88,5,1,False,False
88,frame_0304.jpg,121.6,0.5073,0.6617,0.375,0.32,7,3,False,False
89,frame_0389.jpg,155.6,0.5042,0.5854,0.625,0.12,7,5,False,False
90,frame_0276.jpg,110.4,0.5041,0.6122,0.5,0.24,8,4,False,False
91,frame_0201.jpg,80.4,0.5037,0.5583,0.375,0.56,4,3,False,False
92,frame_0305.jpg,122.0,0.5013,0.5156,0.625,0.28,6,5,False,False
93,frame_0368.jpg,147.2,0.5011,0.6862,0.5,0.04,9,4,False,False
94,frame_0224.jpg,89.6,0.5009,0.8787,0.125,0.12,3,1,False,False
95,frame_0130.jpg,52.0,0.5008,0.4086,0.375,0.92,5,3,False,False
96,frame_0280.jpg,112.0,0.5004,0.6907,0.25,0.4,6,2,False,False
97,frame_0319.jpg,127.6,0.4992,0.5114,0.625,0.28,9,5,False,False
98,frame_0300.jpg,120.0,0.4985,0.58,0.375,0.48,8,3,False,False
